見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
令和元年台風第19号災害義援金の募集,県では、被災された方々を支援するため、義援金を12月30日まで受け付けています。義援金振込先(1)金融機関：紀陽銀行 県庁支店口座番号：（普）413119(2)金融機関：きのくに信用金庫 本店営業部口座番号：（普）2665306(3)金融機関：和歌山県信用農業協同組合連合会 本所口座番号：（普）7347口座名義：(1)～(3)共通 令和元年台風第19号災害義援金,,,,,,,,,県庁福祉保健総務課県ウェブサイトでも掲載,,,,,https://www.pref.wakayama.lg.jp/prefg/040100/soumu_top.html,,,
病気の子供 支援者研修会,テーマ：子どもをめぐる最近の話題～てんかん、重症心身障害児について～講師：下山田洋三氏（小児科医師）,,,1月15日（水）13:30～15:30,県民文化会館（和歌山市）,病気の子供の家族、教育・保健・医療・福祉関係者など,50人（先着順）,,,,電話、ファックスで講演会名、氏名、電話番号を12月27日（手話通訳・要約筆記希望者は12月12日）までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
難病患者就職サポーター出張相談会,,,,毎月第1火曜日 (1)13:30～14:30 (2)14:45～15:45,毎月第1火曜日 (1)13:30～14:30 (2)14:45～15:45,難病患者、家族、事業主など,各回2組（先着順）,,,,電話、ファックスで住所、氏名、電話番号、参加人数、相談内容を各回4日前までに会場電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
消費生活青年リーダー養成講座,若者を対象に消費者被害防止のための啓発を行うボランティアを養成,,,1月11日（土）10:00～16:00,県立図書館（和歌山市）,県内在住・通勤・通学の18歳以上29歳以下の方,90人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（ウェブサイトで配布）を1月6日までに県消費生活センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛8階電話073-433-0241　ファックス073-433-3904Eメール　e0313011@pref.wakayama.lg.jp県ウェブサイトでも掲載,,,,http://www.wcac.jp/,,e0313011@pref.wakayama.lg.jp,
大人の発達障害に関する講演会,講師：内山登紀夫氏（精神科医師）,,,1月5日（日）13:00～16:30,情報交流センターBig･U（田辺市）,,400人（先着順）,,,,ファックス、Eメール、インターネットで所定の申込書（申込先、ウェブサイトで配布）を（手話通訳希望者は12月20日までに）県発達障害者支援センターポラリス電話073-413-3200　ファックス073-413-3020Eメール　polaris@jtw.zaq.ne.jp,,,,http://aitoku.or.jp/polaris,,,
高次脳機能障害リハビリテーション講習会,「明日へ、あきらめない」,第一部 講演高次脳機能障害との上手な付き合い方～社会的行動障害を理解する～第二部 パネルディスカッション夢に向かって！～僕が歩いた道～講師：橋本圭司氏（医師）第三部 家族交流会,,12月22日（日）13:00～17:00,県子ども・女性・障害者相談センター（和歌山市）,,150人（先着順）,,,,ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を12月18日までにNPO法人りとるのワークショップフラット電話・ファックス073-423-5838Eメール　w-flat@joy.ocn.ne.jp※手話通訳・要約筆記は要予約県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/040402/kojino/index.html,,w-flat@joy.ocn.ne.jp,
最新の医学・医療カンファランス,テーマ：(1)できない仲直りは無用のこと～対人関係研究の最後のフロンティア、“関係修復”を考える(2)脳の弱点を知れば、人生はもっと豊かになる,,,12月12日（木）14:00～16:00,県立医大紀三井寺キャンパス図書館棟（和歌山市）,,100人（先着順）,,,県立医大生涯研修センター電話073-441-0789,,,,,https://www.wakayama-med.ac.jp/,,,
県聴覚障害者情報センターからのお知らせ,(1)聴覚障害者IT講習会「スマートフォン活用講座」,,,1月11・25日、2月8・22日 いずれも土曜13:30～15:00（全4回）,和歌山ビッグ愛（和歌山市）,県内在住の聴覚障害者、中途失聴・難聴者 20,20人（抽選）,,郵送、ファックスで所定の申込書（申込先、ウェブサイトで配布）を12月20日までに問合先※手話通訳・要約筆記は要予約,県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411Eメール　w-mikan@nifty.com,,,,,http://wakayama-tyoukaku.la.coocan.jp/,,w-mikan@nifty.com,
県聴覚障害者情報センターからのお知らせ,(2)要約筆記者養成講座手書きコース,要約筆記を行うための知識・技術を習得,,2月6日（木）から全24回※詳しい日程はウェブサイトを要確認,田辺市民総合センター,県内在住で要約筆記の学習が初めての方, 15人（抽選）,"3,400円（テキスト代）",郵送、電話、ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を1月23日までに問合先※要約筆記は要予約,県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛6階電話073-421-6311　ファックス073-421-6411Eメール　w-mikan@nifty.com,,,,,http://wakayama-tyoukaku.la.coocan.jp/,,w-mikan@nifty.com,
きのくにロボットフェスティバル2019,(1)全日本小中学生ロボット選手権(2)きのくに高校生ロボットコンテスト(3)スーパーロボットショー(4)「わかやま産業を支える人づくりプロジェクト」の取組、小中学生発明の「私たちのくふう展」、御坊市少年少女発明クラブ展など,,,12月15日（日）9:20～16:00,御坊市立体育館,,,,,御坊商工会議所電話0738-22-1008,,,,,,,,
